Niger,50.20%,47.20%,2.60%
Nigeria,44.00%,53.30%,2.80%
Norway,17.80%,65.40%,16.80%
Oman,21.80%,75.80%,2.40%
Pakistan,34.80%,60.70%,4.50%
Palestine,39.60%,57.40%,3.00%
Panama,27.40%,64.70%,7.90%
Papua New Guinea,35.90%,60.30%,3.80%
Paraguay,29.40%,64.20%,6.40%
Peru,27.40%,65.50%,7.20%
Philippines,31.70%,63.50%,4.80%
Poland,14.80%,68.40%,16.80%
Portugal,13.60%,64.90%,21.50%
Puerto Rico,17.90%,66.90%,15.20%
Qatar,13.90%,84.80%,1.30%
Romania,15.30%,66.90%,17.90%
Russia,17.60%,68.20%,14.20%
Rwanda,40.10%,56.90%,3.00%
Samoa,36.60%,57.80%,5.60%
São Tomé and Príncipe,42.80%,54.30%,2.90%
Saudi Arabia,25.20%,71.50%,3.30%
Senegal,42.90%,54.10%,3.00%
Serbia,16.50%,66.20%,17.40%
Seychelles,22.20%,69.20%,8.60%
Sierra Leone,42.10%,55.40%,2.50%
Singapore,15.00%,72.10%,12.90%
Slovakia,15.40%,69.60%,15.10%
Slovenia,15.00%,66.00%,19.10%
Solomon Islands,38.80%,57.70%,3.50%
Somalia,46.40%,50.80%,2.70%
South Africa,29.00%,65.70%,5.30%
Sudan,41.70%,54.90%,3.40%
Spain,14.70%,65.90%,19.40%
Sri Lanka,24.00%,65.90%,10.10%
Saint Lucia,18.90%,71.40%,9.70%
Saint Vincent and the Grenadines,23.80%,68.50%,7.70%
Suriname,26.40%,66.60%,6.90%
Sweden,17.50%,62.50%,19.90%
Switzerland,14.90%,66.70%,18.40%
Syria,36.60%,59.10%,4.30%
Tajikistan,35.30%,61.30%,3.50%
Tanzania,44.90%,52.00%,3.10%
Thailand,17.30%,71.30%,11.40%
Timor-Leste,43.60%,52.80%,3.60%
Togo,41.60%,55.60%,2.80%
Tonga,35.80%,58.30%,5.80%
Trinidad and Tobago,20.70%,69.30%,10.00%
Tunisia,24.00%,68.00%,8.00%
Taiwan,13.12%,73.02%,13.86%
Turkey,25.00%,66.90%,8.20%
Turkmenistan,30.90%,64.80%,4.30%
Uganda,47.70%,50.10%,2.20%
Ukraine,15.50%,68.00%,16.50%
United Arab Emirates,13.90%,85.00%,1.10%
United States,18.90%,65.70%,15.40%
United Kingdom,17.70%,63.80%,18.50%
Uruguay,21.10%,64.30%,14.70%
Uzbekistan,28.00%,67.50%,4.50%
Vanuatu,36.00%,59.70%,4.40%
Venezuela,27.60%,65.80%,6.60%
Vietnam,23.10%,69.80%,7.20%
US Virgin Islands (US),20.10%,61.30%,18.60%
Yemen,39.90%,57.20%,2.90%
Zambia,44.80%,52.70%,2.50%
Zimbabwe,41.20%,56.00%,2.80%
